marker
CD3G
CD3E
CD3D
TRBC2
TRAC
CD4
CD8A
CD8B
CD8B1
CD69
CD40LG
MIR155HG
CD27
CD28
FOXP3
IL2RA
IKZF2
ICOS
TNFRSF4
TNFRSF9
TNFRSF18
CTLA4
TIGIT
ENTPD1
IL10
IL1R1
IL1R2
TBX21
RUNX3
IFNG
TNF
IL2
IL21
CSF2
GATA3
IL3
IL4
IL5
IL13
RORC
IL17A
IL17F
IL22
IL23R
CCL20
AHR
BCL6
CXCR5
CXCL13
CD200
PDCD1
LAG3
PRDM1
IFIT3
IFIT2
STAT1
MX1
IRF7
ISG15
IFITM3
OAS1
OAS2
JAK2
ZEB2
HOPX
LAMP1
PRF1
GZMB
GZMH
GZMA
GNLY
NKG7
XCL1
XCL2
CCL4
GZMK
EOMES
KLRG1
DUSP2
TNFSF9 
CMC1
KLRC2
CRTAM
ITGAE
ITGA1
ZNF683
LGALS3
GPR25
JAML
PPARG
ZBTB7B
CCR7
SELL
CD45
TCF7
S1PR1
S1PR5
IL27RA
IL7R
CD27
KLF2
CX3CR1
CXCR6
CXCR3
CCR4
CCR6
CCR5
RORA
B3GAT1
BTLA
TGFB1
SOCS1
TRIM21
TOP2A
HAVCR2
CDK1
MKI67
ANXA1
ANXA2
VIM
S100A4
S100A6
S100A11
BHLHE40
HLA-DRA
HLA-DRB5
HLA-DRB1
HLA-DPB1
TNFSF10
FGFBP2
FCGR3A
TRAV1-2
TRBV6-4
KLRB1
